"NSFTV.ID","HDRA.ID","Na.K.Shoot.LSMEAN","Na.Shoot.LSMEAN","K.Shoot.Salt.LSMEAN","Na.K.Root.LSMEAN","Na.Root.LSMEAN","Shoot.BM.Control.LSMEAN","Shoot.BM.Salt.LSMEAN","Root.BM.Control.LSMEAN","Root.BM.Salt.LSMEAN","Flowering.time.at.Arkansas","Flowering.time.at.Faridpur","Flowering.time.at.Aberdeen","Panicle.number.per.plant","Plant.height","Panicle.fertility"
"NSFTV_55","ef8fd965.0",177.1628553,0.144283899,0.85468335,397.342275,0.264339135,2.539820653,1.550460604,0.714142925,0.316869022,74.91666667,66,84,3.414990704,101.3333333,0.788
"NSFTV_56","652530bb.0",96.58785531,0.090033899,0.91243335,387.4427595,0.245760261,2.065538212,1.448804963,0.422245938,0.260869022,74.125,66,76,3.388618599,77,0.946
"NSFTV_57","71d5fcf4.0",216.6128553,0.200283899,0.92393335,653.9610339,0.396881833,2.256325739,1.435293938,0.662443288,0.296202355,89.83333333,76,88,4.037186148,137.1666667,0.869
"NSFTV_58","9c099b78.0",260.2878553,0.228033899,0.89093335,515.1857825,0.423514148,2.625871545,1.599793938,0.823857157,0.331035688,91.25,77,101,3.58120144,129.1666667,0.906
"NSFTV_59","a5ec1b10.0",145.5878553,0.134533899,0.93893335,542.0721946,0.383708111,2.849866536,1.410293938,0.714508373,0.338702355,82.16666667,70,96,2.463853241,136.5555556,0.856
"NSFTV_6","0d125c0e.0",283.9469623,0.251543226,0.86306665,582.787709,0.412079613,1.652930525,1.112934876,0.490838082,0.227296175,89.08333333,73,101,2.857427602,148.3333333,0.871
"NSFTV_60","7f7fb805.0",277.7291443,0.225878099,0.856093936,543.8112301,0.244668159,1.653798609,1.306734888,0.474976258,0.191869022,82.33333333,68,88,2.983153491,128.9166667,0.722
"NSFTV_612","85240e22.0",165.7043879,0.126901758,0.77428296,524.4328711,0.416265445,1.688972398,1.484213329,0.502014501,0.354914766,NA,NA,NA,NA,NA,NA
"NSFTV_616","298c9652.0",122.7121447,0.108966101,0.91156665,547.6242345,0.394694251,2.020421622,1.444490931,0.656971778,0.409365676,81,NA,NA,3.54577861,111,0.64
"NSFTV_618","a4acb3d5.0",169.4371447,0.139466101,0.82206665,524.798866,0.324385143,1.533088289,1.416794775,0.528805111,0.28269901,78.5,NA,NA,3.308106959,86.83333333,0.804
"NSFTV_619","f7e71b48.0",164.8371447,0.146716101,0.90281665,469.0548441,0.366874573,1.659424165,1.188490931,0.430980966,0.253365676,78,NA,NA,3.171085161,81.83333333,0.898
"NSFTV_62","9ec86ff1.0",188.177953,0.164278579,0.863751774,540.3776053,0.473204955,2.388107284,1.607934743,0.634971778,0.326365676,NA,NA,NA,NA,NA,NA
"NSFTV_620","9e09efb3.0",190.0121447,0.162966101,0.84906665,471.4296881,0.35915496,2.035754955,1.623324264,0.632971778,0.339032343,91.5,NA,NA,3.428596356,110.1666667,0.823
"NSFTV_621","b4d6e1d7.0",166.5871447,0.151466101,0.93206665,450.7187448,0.33264471,1.799088289,1.562657597,0.469471778,0.42069901,85.5,NA,NA,2.602689685,91.5,0.647
"NSFTV_622","fb21dae1.0",184.5112863,0.169278579,0.955085107,481.0335721,0.357509199,2.046754955,1.694490931,0.671138445,0.328032343,83.5,NA,NA,3.444682494,84.66666667,0.528
"NSFTV_624","961237a1.0",170.7871447,0.154216101,0.91931665,409.3203161,0.31323154,1.494754955,1.354628861,0.411638445,0.346917336,86.5,NA,NA,2.685577345,98.16666667,0.51
"NSFTV_625","38ab4ed4.0",166.9371447,0.159466101,0.99306665,415.917974,0.338194405,1.53293116,1.455794775,0.498165932,0.341532343,85.5,NA,NA,2.782951509,102.1666667,0.586
"NSFTV_626","630c7f90.0",191.0371447,0.161466101,0.85056665,658.8449151,0.417636361,2.591921622,2.052490931,0.970638445,0.49169901,90.5,NA,NA,3.36729583,96.16666667,0.774
"NSFTV_627","9b34fda6.0",181.8121447,0.151216101,0.83781665,425.3828408,0.315603253,2.550369696,1.636157597,0.652715292,0.32869901,62,NA,NA,2.302585093,78.33333333,0.629
"NSFTV_629","ce3f9303.0",115.1371447,0.099966101,0.90156665,409.7957036,0.261712529,2.404754955,1.809490931,0.847305111,0.496365676,72.5,NA,NA,3.079613758,98,0.919
"NSFTV_63","407f31bd.0",217.3630836,0.196800507,0.927346127,375.7412908,0.302323015,2.391440617,1.656768076,0.879962946,0.325695656,NA,NA,NA,NA,NA,NA
"NSFTV_631","1fbe21f5.0",122.9371447,0.115216101,0.96131665,471.6185642,0.381673801,2.156754955,1.507824264,0.604305111,0.356532343,NA,NA,NA,NA,NA,NA
"NSFTV_633","b23710c4.0",155.5871447,0.134466101,0.86856665,765.971933,0.48910715,1.728652278,1.46477146,0.492760688,0.231767386,94.5,NA,NA,3.516508228,88.16666667,0.848
"NSFTV_634","924bd3ae.0",130.0371447,0.111716101,0.87556665,429.8808416,0.279835663,2.389254955,1.776044775,0.883971778,0.497032343,89,NA,NA,3.52144651,107.1666667,0.908
"NSFTV_641","88631879.0",215.5381636,0.209455274,0.997098879,480.4156349,0.395484088,1.308969684,1.062069251,0.361149701,0.166697906,NA,NA,NA,NA,NA,NA
"NSFTV_642","986a3c37.0",54.78816358,0.055955274,1.012848879,516.6253826,0.409656588,2.213136351,1.573069251,0.931316368,0.462864573,NA,NA,NA,NA,NA,NA
"NSFTV_643","0491646d.0",155.2430306,0.142707976,0.950529438,420.4754164,0.338086732,2.134136351,1.763477253,0.678816368,0.451717524,NA,NA,NA,NA,NA,NA
"NSFTV_647","d298701c.0",179.0631636,0.145205274,0.813598879,450.0589701,0.285019135,2.080867007,1.626183113,0.629271944,0.376932949,NA,NA,NA,NA,NA,NA
"NSFTV_65","1ab838a2.0",200.0878553,0.184283899,0.92518335,557.0706442,0.339388187,2.188659073,1.781627271,0.738943288,0.452202355,100.75,80,114,2.995732274,129.5833333,0.841
"NSFTV_651","432387a8.0",222.9381636,0.209955274,0.955848879,593.4100784,0.323835264,2.378469684,1.87276892,0.781594726,0.54700919,NA,NA,NA,NA,NA,NA
"NSFTV_66","7691a376.0",187.2755382,0.16041574,0.865073272,436.975958,0.363790421,2.631630304,1.710475756,0.693098501,0.276789343,NA,NA,190,NA,NA,NA
"NSFTV_67","39dd7feb.0",135.2378553,0.115533899,0.88668335,303.9845249,0.23355566,2.017105813,1.425960604,0.548460264,0.297869022,114.6666667,NA,222,3.355735008,123.9166667,0.864
"NSFTV_69","c14c4e03.0",298.0628553,0.238283899,0.81818335,487.0248085,0.28473573,2.307659073,1.594960604,0.551109955,0.338369022,93.25,76,85,2.913256052,113.5833333,0.839
"NSFTV_7","e37be9e5.0",142.2371447,0.119466101,0.84606665,470.0405412,0.357242718,1.275910029,1.198101542,0.441504748,0.196207826,105,NA,158,2.859021228,119.6,0.907
"NSFTV_70","efbb93de.0",325.1154038,0.269783899,0.73793335,448.8259178,0.363091033,2.225399649,1.544627271,0.820809591,0.361202355,90.5,77,108,3.016351561,128,0.807
